Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnIndexSelect,4296.88,97,44.298,14.57,1067.63,11151.277
host,acl,aclnnIndexSelectGetWorkspaceSize,12555.63,49,256.237,74.98,8047.25,1264755.586
host,acl,aclnnInplaceAdds,5298.88,100,52.989,6.49,4508.73,200542.775
host,acl,aclnnInplaceCopy,1099365.58,7715,142.497,1.83,1040624.06,140345941.196
host,acl,aclnnInplaceCopyGetWorkspaceSize,150754.502,7438,20.268,12.02,6934.07,9560.214
host,acl,aclnnInplaceDiv,1664.13,200,8.321,5.84,79.84,49.909
host,acl,aclnnInplaceFillScalar,71533.45,4287,16.686,6.3,4438.23,11897.83
host,acl,aclnnInplaceFillScalarGetWorkspaceSize,18078.35,56,322.828,31.23,8723.21,1725893.046
host,acl,aclnnInplaceLog,1231.34,100,12.313,5.95,528.29,2690.015
host,acl,aclnnInplaceMaskedFillScalar,5765.64,200,28.828,5.79,4262.43,90096.623
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,4604.77,2,2302.385,33.78,4570.99,5146568.646
host,acl,aclnnInplaceMuls,808.83,100,8.088,5.89,121.37,130.184
host,acl,aclnnInplaceMulsGetWorkspaceSize,41.89,1,41.89,41.89,41.89,0
host,acl,aclnnInplaceOne,2391.37,145,16.492,6.16,597.47,2395.806
host,acl,aclnnInplaceOneGetWorkspaceSize,1940.92,3,646.973,29.09,1880.79,761152.417
host,acl,aclnnInplaceUniform,2965.95,100,29.66,26.08,80.78,33.148
host,acl,aclnnInplaceUniformGetWorkspaceSize,2998.8,100,29.988,26.49,92.45,47.412
host,acl,aclnnInplaceZero,4955.76,80,61.947,5.89,1855.78,56610.962
host,acl,aclnnInplaceZeroGetWorkspaceSize,262463.43,10,26246.343,24.41,260575.25,6101174243.411
host,acl,aclnnLeTensor,5185.35,100,51.854,6.77,4409.21,191784.239
host,acl,aclnnLeTensorGetWorkspaceSize,5304.45,1,5304.45,5304.45,5304.45,0
