Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2079,578.060,1764309594495291.430	,1764309594495869.490	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2079,575.900,1764309594495292.790	,1764309594495868.690	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2080,15.440,1764309594495869.510	,1764309594495884.950	
4,AddRmsNorm,AI_VECTOR_CORE,23,2081,2.680,1764309594495884.970	,1764309594495887.650	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2082,602.880,1764309594495887.670	,1764309594496490.550	
4,SwiGlu,AI_VECTOR_CORE,23,2083,5.780,1764309594496490.570	,1764309594496496.350	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2084,612.240,1764309594496496.370	,1764309594497108.610	
4,AddRmsNorm,AI_VECTOR_CORE,23,2085,1.980,1764309594497108.630	,1764309594497110.610	
4,trans_TransData_1,AI_VECTOR_CORE,23,2086,10.560,1764309594497110.630	,1764309594497121.190	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2087,11.280,1764309594497121.230	,1764309594497132.510	
4,rope_custom_true_half,AI_CORE,23,2088,4.360,1764309594497132.530	,1764309594497136.890	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2089,2.760,1764309594497136.910	,1764309594497139.670	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2090,606.340,1764309594497139.690	,1764309594497746.030	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2090,604.380,1764309594497140.730	,1764309594497745.110	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2091,13.040,1764309594497746.050	,1764309594497759.090	
4,AddRmsNorm,AI_VECTOR_CORE,23,2092,1.980,1764309594497759.110	,1764309594497761.090	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2093,627.820,1764309594497761.110	,1764309594498388.930	
4,SwiGlu,AI_VECTOR_CORE,23,2094,4.820,1764309594498388.950	,1764309594498393.770	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2095,594.240,1764309594498393.790	,1764309594498988.030	
4,AddRmsNorm,AI_VECTOR_CORE,23,2096,1.980,1764309594498988.050	,1764309594498990.030	
4,trans_TransData_1,AI_VECTOR_CORE,23,2097,11.560,1764309594498990.050	,1764309594499001.610	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2098,581.760,1764309594499001.630	,1764309594499583.390	
4,rope_custom_true_half,AI_CORE,23,2099,4.460,1764309594499583.410	,1764309594499587.870	
